Tarih,Hisse_Kodu,Set,Close,Open,High,Low,Volume,USD_TRY,VIX,Gunluk_Getiri
2018-06-06,BIMAS.IS,Train,12.600512504577637,12.755120616988696,12.755120616988696,12.08837552820088,4761656.0,4.594900131225586,11.640000343322754,-0.003062832349479
2018-06-07,BIMAS.IS,Train,13.045013427734377,12.552201219572238,13.189958021375867,12.300964808598575,5348872.0,4.559999942779541,12.130000114440918,0.0346684598310004
2018-06-08,BIMAS.IS,Train,12.79377555847168,13.054677006918112,13.151306736134524,12.590854011788812,3847892.0,4.480299949645996,12.18000030517578,-0.019447179771186
2018-06-11,BIMAS.IS,Train,12.938718795776367,12.648829638519668,13.01602286593532,12.38792969187914,5542972.0,4.472499847412109,12.350000381469728,0.011265504868739
2018-06-12,BIMAS.IS,Train,12.764785766601562,12.880741128124289,12.880741128124289,12.339614141748353,3733544.0,4.520999908447266,12.34000015258789,-0.0135340053475742
2018-06-13,BIMAS.IS,Train,12.523211479187012,12.70680734534641,12.803437058999236,12.51354791804076,4153160.0,4.586900234222412,12.9399995803833,-0.0191064269759812
2018-06-14,BIMAS.IS,Train,13.315579414367676,12.503888655939695,13.721424056355202,12.484563001455134,3370772.0,4.662799835205078,12.119999885559082,0.0613508935293551
2018-06-15,BIMAS.IS,Train,13.315579414367676,13.315579414367676,13.315579414367676,13.315579414367676,0.0,4.739590167999268,11.979999542236328,0.0
2018-06-18,BIMAS.IS,Train,12.648829460144045,13.054675454142124,13.054675454142124,12.610178162835885,6490512.0,4.740499973297119,12.3100004196167,-0.0513700561338916
2018-06-19,BIMAS.IS,Train,12.552197456359863,12.590850221080892,12.697142006546246,12.494220520956636,3442032.0,4.706999778747559,13.350000381469728,-0.0076689317226211
2018-06-20,BIMAS.IS,Train,12.300962448120115,12.503883955607236,12.590851579775176,12.271973240064137,4502712.0,4.743599891662598,12.789999961853027,-0.0202182392427326
2018-06-21,BIMAS.IS,Train,12.542536735534668,12.677817740645104,12.677817740645104,12.378266522342743,3082148.0,4.743100166320801,14.640000343322754,0.0194482991247327
2018-06-22,BIMAS.IS,Train,13.083662033081056,12.861414881530802,13.1899553029591,12.610177047883974,3840280.0,4.735099792480469,13.770000457763672,0.0422384725357655
2018-06-25,BIMAS.IS,Train,12.88074016571045,13.189954931484834,13.199618491911531,12.755121252424894,3644068.0,4.606969833374023,17.329999923706055,-0.0156310934853619
2018-06-26,BIMAS.IS,Train,12.755121231079102,13.045010349967264,13.045010349967264,12.697142817520549,3196656.0,4.686999797821045,15.920000076293944,-0.0098003291657065
2018-06-27,BIMAS.IS,Train,12.851751327514648,12.871076974470066,12.900066182129368,12.6778175560112,2569284.0,4.613999843597412,17.90999984741211,0.0075472359922961
2018-06-28,BIMAS.IS,Train,13.131977081298828,12.8904028047889,13.18995549744216,12.822762302256592,2616772.0,4.621300220489502,16.850000381469727,0.0215701622483296
2018-06-29,BIMAS.IS,Train,12.996698379516602,13.045013243380977,13.112653757900572,12.9387199530983,2892436.0,4.590499877929688,16.09000015258789,-0.0103548999827957
