ds,Hisse_Kodu,y
2023-07-31,BIMAS.IS,101.8551254272461
2023-08-01,BIMAS.IS,101.24238586425781
2023-08-02,BIMAS.IS,103.78758239746094
2023-08-03,BIMAS.IS,107.60537719726562
2023-08-04,BIMAS.IS,108.78372955322266
2023-08-07,BIMAS.IS,107.32258605957031
2023-08-08,BIMAS.IS,108.97225189208984
2023-08-09,BIMAS.IS,119.86004638671875
2023-08-10,BIMAS.IS,125.70458984375
2023-08-11,BIMAS.IS,128.5325927734375
2023-08-14,BIMAS.IS,128.43833923339844
2023-08-15,BIMAS.IS,122.21670532226562
2023-08-16,BIMAS.IS,120.66131591796875
2023-08-17,BIMAS.IS,119.01164245605469
2023-08-18,BIMAS.IS,110.76331329345703
2023-08-21,BIMAS.IS,118.87024688720703
2023-08-22,BIMAS.IS,118.30465698242188
2023-08-23,BIMAS.IS,114.53398895263672
2023-08-24,BIMAS.IS,113.1671142578125
2023-08-25,BIMAS.IS,121.13264465332031
2023-08-28,BIMAS.IS,120.66131591796875
2023-08-29,BIMAS.IS,121.17977905273438
2023-08-31,BIMAS.IS,118.87024688720703
2023-09-01,BIMAS.IS,122.16958618164062
2023-09-04,BIMAS.IS,123.6778335571289
2023-09-05,BIMAS.IS,124.52626037597656
2023-09-06,BIMAS.IS,121.98103332519531
2023-09-07,BIMAS.IS,128.67398071289062
2023-09-08,BIMAS.IS,127.25997924804688
2023-09-11,BIMAS.IS,127.25997924804688
2023-09-12,BIMAS.IS,127.49564361572266
2023-09-13,BIMAS.IS,127.25997924804688
2023-09-14,BIMAS.IS,129.09817504882812
2023-09-15,BIMAS.IS,127.25997924804688
2023-09-18,BIMAS.IS,126.31729888916016
2023-09-19,BIMAS.IS,130.13510131835938
2023-09-20,BIMAS.IS,127.25997924804688
2023-09-21,BIMAS.IS,129.94659423828125
2023-09-22,BIMAS.IS,128.86251831054688
2023-09-25,BIMAS.IS,130.88925170898438
2023-09-26,BIMAS.IS,129.80517578125
2023-09-27,BIMAS.IS,127.25997924804688
2023-09-28,BIMAS.IS,127.25997924804688
2023-09-29,BIMAS.IS,129.47523498535156
2023-10-02,BIMAS.IS,137.39364624023438
2023-10-03,BIMAS.IS,134.0943145751953
2023-10-04,BIMAS.IS,136.63951110839844
2023-10-05,BIMAS.IS,138.71336364746094
2023-10-06,BIMAS.IS,146.11331176757812
2023-10-09,BIMAS.IS,147.52731323242188
2023-10-10,BIMAS.IS,150.82662963867188
2023-10-11,BIMAS.IS,151.1094512939453
2023-10-12,BIMAS.IS,150.82662963867188
2023-10-13,BIMAS.IS,150.82662963867188
2023-10-16,BIMAS.IS,150.68524169921875
2023-10-17,BIMAS.IS,147.52731323242188
2023-10-18,BIMAS.IS,140.45730590820312
2023-10-19,BIMAS.IS,138.52484130859375
2023-10-20,BIMAS.IS,134.23573303222656
2023-10-23,BIMAS.IS,136.8751983642578
2023-10-24,BIMAS.IS,142.10696411132812
2023-10-25,BIMAS.IS,133.57583618164062
