Tarih,Hisse_Kodu,Close
2016-10-13,TUPRS.IS,3.995448589324951
2016-10-14,TUPRS.IS,4.039429187774658
2016-10-17,TUPRS.IS,4.039429187774658
2016-10-18,TUPRS.IS,4.039429187774658
2016-10-19,TUPRS.IS,4.130772590637207
2016-10-20,TUPRS.IS,4.232265949249268
2016-10-21,TUPRS.IS,4.222116470336914
2016-10-24,TUPRS.IS,4.28639554977417
2016-10-25,TUPRS.IS,4.255947589874268
2016-10-26,TUPRS.IS,4.198434829711914
2016-10-27,TUPRS.IS,4.178136348724365
2016-10-28,TUPRS.IS,4.2119669914245605
2016-10-31,TUPRS.IS,4.266097068786621
2016-11-01,TUPRS.IS,4.3303751945495605
2016-11-02,TUPRS.IS,4.28639554977417
2016-11-03,TUPRS.IS,4.252563953399658
2016-11-04,TUPRS.IS,4.1172404289245605
2016-11-07,TUPRS.IS,4.3100786209106445
2016-11-08,TUPRS.IS,4.4115705490112305
2016-11-09,TUPRS.IS,4.374356746673584
2016-11-10,TUPRS.IS,4.367589473724365
2016-11-11,TUPRS.IS,4.398038387298584
2016-11-14,TUPRS.IS,4.303311824798584
2016-11-15,TUPRS.IS,4.326992511749268
2016-11-16,TUPRS.IS,4.43863582611084
2016-11-17,TUPRS.IS,4.489381790161133
2016-11-18,TUPRS.IS,4.536745071411133
2016-11-21,TUPRS.IS,4.563809871673584
2016-11-22,TUPRS.IS,4.513063907623291
2016-11-23,TUPRS.IS,4.516447067260742
2016-11-24,TUPRS.IS,4.485998153686523
2016-11-25,TUPRS.IS,4.469083309173584
2016-11-28,TUPRS.IS,4.496148109436035
2016-11-29,TUPRS.IS,4.445401191711426
2016-11-30,TUPRS.IS,4.6348557472229
2016-12-01,TUPRS.IS,4.5739593505859375
2016-12-02,TUPRS.IS,4.6111741065979
2016-12-05,TUPRS.IS,4.6280903816223145
2016-12-06,TUPRS.IS,4.716050624847412
2016-12-07,TUPRS.IS,4.736348628997803
2016-12-08,TUPRS.IS,4.770179748535156
2016-12-09,TUPRS.IS,4.783712387084961
2016-12-12,TUPRS.IS,4.847991466522217
2016-12-13,TUPRS.IS,4.820926666259766
2016-12-14,TUPRS.IS,4.85814094543457
2016-12-15,TUPRS.IS,4.837841987609863
2016-12-16,TUPRS.IS,4.851374626159668
2016-12-19,TUPRS.IS,4.783712387084961
2016-12-20,TUPRS.IS,4.844607830047607
2016-12-21,TUPRS.IS,4.8006272315979
2016-12-22,TUPRS.IS,4.739731788635254
2016-12-23,TUPRS.IS,4.776946544647217
2016-12-26,TUPRS.IS,4.770179748535156
2016-12-27,TUPRS.IS,4.78032922744751
2016-12-28,TUPRS.IS,4.770179748535156
2016-12-29,TUPRS.IS,4.824310302734375
2016-12-30,TUPRS.IS,4.78709602355957
2017-01-02,TUPRS.IS,4.763413906097412
2017-01-03,TUPRS.IS,4.658537864685059
2017-01-04,TUPRS.IS,4.702517986297607
2017-01-05,TUPRS.IS,4.80401086807251
2017-01-06,TUPRS.IS,4.83445930480957
2017-01-09,TUPRS.IS,4.854757785797119
2017-01-10,TUPRS.IS,4.837841987609863
2017-01-11,TUPRS.IS,4.837841987609863
2017-01-12,TUPRS.IS,5.017146110534668
2017-01-13,TUPRS.IS,5.1152567863464355
2017-01-16,TUPRS.IS,5.145705223083496
2017-01-17,TUPRS.IS,5.176151752471924
2017-01-18,TUPRS.IS,5.125406265258789
2017-01-19,TUPRS.IS,5.203217506408691
2017-01-20,TUPRS.IS,5.19983434677124
2017-01-23,TUPRS.IS,5.277646064758301
2017-01-24,TUPRS.IS,5.341925144195557
2017-01-25,TUPRS.IS,5.301327705383301
2017-01-26,TUPRS.IS,5.345308303833008
2017-01-27,TUPRS.IS,5.484014987945557
2017-01-30,TUPRS.IS,5.524612903594971
2017-01-31,TUPRS.IS,5.544910907745361
2017-02-01,TUPRS.IS,5.615957260131836
2017-02-02,TUPRS.IS,5.653170585632324
2017-02-03,TUPRS.IS,5.6937689781188965
2017-02-06,TUPRS.IS,5.71744966506958
2017-02-07,TUPRS.IS,5.727599620819092
2017-02-08,TUPRS.IS,5.829092502593994
2017-02-09,TUPRS.IS,5.920436859130859
2017-02-10,TUPRS.IS,5.869688987731934
2017-02-13,TUPRS.IS,5.879838943481445
2017-02-14,TUPRS.IS,5.71744966506958
2017-02-15,TUPRS.IS,5.771579265594482
2017-02-16,TUPRS.IS,5.602424621582031
2017-02-17,TUPRS.IS,5.602424621582031
2017-02-20,TUPRS.IS,5.670085906982422
2017-02-21,TUPRS.IS,5.649787902832031
2017-02-22,TUPRS.IS,5.676852703094482
2017-02-23,TUPRS.IS,5.683619499206543
2017-02-24,TUPRS.IS,5.690384864807129
2017-02-27,TUPRS.IS,5.6937689781188965
2017-02-28,TUPRS.IS,5.761429786682129
2017-03-01,TUPRS.IS,5.8527750968933105
2017-03-02,TUPRS.IS,5.846009254455566
2017-03-03,TUPRS.IS,5.984715461730957
2017-03-06,TUPRS.IS,6.055760383605957
2017-03-07,TUPRS.IS,6.028695583343506
2017-03-08,TUPRS.IS,5.961034297943115
2017-03-09,TUPRS.IS,5.913670539855957
2017-03-10,TUPRS.IS,6.069293022155762
2017-03-13,TUPRS.IS,5.971182823181152
2017-03-14,TUPRS.IS,6.005014419555664
2017-03-15,TUPRS.IS,5.961034297943115
2017-03-16,TUPRS.IS,5.964416980743408
2017-03-17,TUPRS.IS,6.052377700805664
2017-03-20,TUPRS.IS,6.086208820343018
2017-03-21,TUPRS.IS,6.170785427093506
2017-03-22,TUPRS.IS,6.0456109046936035
2017-03-23,TUPRS.IS,6.055760383605957
2017-03-24,TUPRS.IS,5.998248100280762
2017-03-27,TUPRS.IS,5.9305853843688965
2017-03-28,TUPRS.IS,5.9745659828186035
2017-03-29,TUPRS.IS,6.079443454742432
2017-03-30,TUPRS.IS,6.160636901855469
2017-03-31,TUPRS.IS,6.103123188018799
2017-04-03,TUPRS.IS,6.038845539093018
2017-04-04,TUPRS.IS,6.021972179412842
2017-04-05,TUPRS.IS,6.185611724853516
2017-04-06,TUPRS.IS,6.076519012451172
2017-04-07,TUPRS.IS,6.17833948135376
2017-04-10,TUPRS.IS,6.192884922027588
2017-04-11,TUPRS.IS,6.254705429077148
2017-04-12,TUPRS.IS,6.232885837554932
2017-04-13,TUPRS.IS,6.160157203674316
2017-04-14,TUPRS.IS,6.17833948135376
2017-04-17,TUPRS.IS,6.2147040367126465
2017-04-18,TUPRS.IS,6.160157203674316
2017-04-19,TUPRS.IS,6.105609893798828
2017-04-20,TUPRS.IS,6.167430877685547
2017-04-21,TUPRS.IS,6.163793563842773
2017-04-24,TUPRS.IS,6.236522674560547
2017-04-25,TUPRS.IS,6.254705429077148
2017-04-26,TUPRS.IS,6.400163173675537
2017-04-27,TUPRS.IS,6.45107364654541
2017-04-28,TUPRS.IS,6.5092573165893555
2017-05-01,TUPRS.IS,6.5092573165893555
2017-05-02,TUPRS.IS,6.418345928192139
2017-05-03,TUPRS.IS,6.389254570007324
2017-05-04,TUPRS.IS,6.349252223968506
2017-05-05,TUPRS.IS,6.676534652709961
2017-05-08,TUPRS.IS,6.6510796546936035
2017-05-09,TUPRS.IS,6.803809642791748
2017-05-10,TUPRS.IS,6.829265117645264
2017-05-11,TUPRS.IS,6.683806419372559
2017-05-12,TUPRS.IS,6.851083278656006
2017-05-15,TUPRS.IS,6.891084671020508
2017-05-16,TUPRS.IS,6.912904262542725
2017-05-17,TUPRS.IS,6.934722423553467
2017-05-18,TUPRS.IS,6.905631065368652
2017-05-19,TUPRS.IS,6.905631065368652
2017-05-22,TUPRS.IS,6.8729023933410645
2017-05-23,TUPRS.IS,6.8765387535095215
2017-05-24,TUPRS.IS,7.025634288787842
2017-05-25,TUPRS.IS,6.960177421569824
2017-05-26,TUPRS.IS,6.978359222412109
2017-05-29,TUPRS.IS,6.971086025238037
2017-05-30,TUPRS.IS,6.9674506187438965
2017-05-31,TUPRS.IS,6.909268379211426
2017-06-01,TUPRS.IS,6.960177421569824
2017-06-02,TUPRS.IS,7.0329084396362305
2017-06-05,TUPRS.IS,7.1310906410217285
2017-06-06,TUPRS.IS,7.24382209777832
2017-06-07,TUPRS.IS,7.145637512207031
2017-06-08,TUPRS.IS,7.12745475769043
2017-06-09,TUPRS.IS,7.171092987060547
2017-06-12,TUPRS.IS,7.1565470695495605
2017-06-13,TUPRS.IS,7.2256388664245605
2017-06-14,TUPRS.IS,7.367461204528809
2017-06-15,TUPRS.IS,7.272913932800293
2017-06-16,TUPRS.IS,7.200183868408203
2017-06-19,TUPRS.IS,7.272913932800293
2017-06-20,TUPRS.IS,7.163819789886475
2017-06-21,TUPRS.IS,7.171092987060547
2017-06-22,TUPRS.IS,7.272913932800293
2017-06-23,TUPRS.IS,7.152910232543945
2017-06-26,TUPRS.IS,7.152910232543945
2017-06-27,TUPRS.IS,7.152910232543945
2017-06-28,TUPRS.IS,7.272913932800293
2017-06-29,TUPRS.IS,7.251094341278076
2017-06-30,TUPRS.IS,7.3601884841918945
2017-07-03,TUPRS.IS,7.251094341278076
2017-07-04,TUPRS.IS,7.280186176300049
2017-07-05,TUPRS.IS,7.287458896636963
2017-07-06,TUPRS.IS,7.272913932800293
2017-07-07,TUPRS.IS,7.247457504272461
2017-07-10,TUPRS.IS,7.294732570648193
2017-07-11,TUPRS.IS,7.45473575592041
2017-07-12,TUPRS.IS,7.425644397735596
2017-07-13,TUPRS.IS,7.6365580558776855
2017-07-14,TUPRS.IS,7.803837299346924
2017-07-17,TUPRS.IS,7.782016277313232
2017-07-18,TUPRS.IS,7.658377647399902
2017-07-19,TUPRS.IS,7.854746341705322
2017-07-20,TUPRS.IS,7.912929534912109
2017-07-21,TUPRS.IS,7.912929534912109
2017-07-24,TUPRS.IS,7.832927227020264
2017-07-25,TUPRS.IS,7.796562194824219
2017-07-26,TUPRS.IS,7.862018585205078
2017-07-27,TUPRS.IS,7.891110420227051
2017-07-28,TUPRS.IS,7.8401994705200195
2017-07-31,TUPRS.IS,7.883837699890137
2017-08-01,TUPRS.IS,7.782016277313232
2017-08-02,TUPRS.IS,7.854746341705322
2017-08-03,TUPRS.IS,8.291120529174805
2017-08-04,TUPRS.IS,8.298395156860352
2017-08-07,TUPRS.IS,8.291120529174805
2017-08-08,TUPRS.IS,8.509308815002441
2017-08-09,TUPRS.IS,8.531126976013184
2017-08-10,TUPRS.IS,8.509308815002441
2017-08-11,TUPRS.IS,8.363850593566895
2017-08-14,TUPRS.IS,8.502036094665527
2017-08-15,TUPRS.IS,8.385668754577637
2017-08-16,TUPRS.IS,8.218391418457031
2017-08-17,TUPRS.IS,8.28384780883789
2017-08-18,TUPRS.IS,8.363850593566895
2017-08-21,TUPRS.IS,8.385668754577637
2017-08-22,TUPRS.IS,8.378396034240723
2017-08-23,TUPRS.IS,8.407486915588379
2017-08-24,TUPRS.IS,8.42203426361084
2017-08-25,TUPRS.IS,8.472944259643555
2017-08-28,TUPRS.IS,8.509308815002441
2017-08-29,TUPRS.IS,8.56021785736084
2017-08-30,TUPRS.IS,8.56021785736084
2017-08-31,TUPRS.IS,8.531126976013184
2017-09-01,TUPRS.IS,8.531126976013184
2017-09-04,TUPRS.IS,8.531126976013184
2017-09-05,TUPRS.IS,8.502036094665527
2017-09-06,TUPRS.IS,8.982047080993652
2017-09-07,TUPRS.IS,9.011139869689941
2017-09-08,TUPRS.IS,9.083868026733398
2017-09-11,TUPRS.IS,9.054776191711426
2017-09-12,TUPRS.IS,8.945682525634766
2017-09-13,TUPRS.IS,8.872954368591309
2017-09-14,TUPRS.IS,8.909318923950195
2017-09-15,TUPRS.IS,8.88749885559082
2017-09-18,TUPRS.IS,8.88749885559082
2017-09-19,TUPRS.IS,8.84386157989502
2017-09-20,TUPRS.IS,8.705677032470703
2017-09-21,TUPRS.IS,8.63294792175293
2017-09-22,TUPRS.IS,8.582037925720215
2017-09-25,TUPRS.IS,8.698403358459473
2017-09-26,TUPRS.IS,8.836589813232422
2017-09-27,TUPRS.IS,8.640220642089844
2017-09-28,TUPRS.IS,8.654766082763672
2017-09-29,TUPRS.IS,8.84386157989502
2017-10-02,TUPRS.IS,8.91659164428711
2017-10-03,TUPRS.IS,8.967500686645508
2017-10-04,TUPRS.IS,8.952956199645996
2017-10-05,TUPRS.IS,8.84386157989502
2017-10-06,TUPRS.IS,8.967500686645508
2017-10-09,TUPRS.IS,8.78567886352539
2017-10-10,TUPRS.IS,8.923863410949707
2017-10-11,TUPRS.IS,8.909318923950195
2017-10-12,TUPRS.IS,9.272963523864746
2017-10-13,TUPRS.IS,9.302055358886719
2017-10-16,TUPRS.IS,9.360238075256348
2017-10-17,TUPRS.IS,9.31659984588623
2017-10-18,TUPRS.IS,9.360238075256348
2017-10-19,TUPRS.IS,9.476603507995605
2017-10-20,TUPRS.IS,9.505697250366211
2017-10-23,TUPRS.IS,9.672974586486816
2017-10-24,TUPRS.IS,9.63661003112793
2017-10-25,TUPRS.IS,9.585700035095215
2017-10-26,TUPRS.IS,9.592972755432129
2017-10-27,TUPRS.IS,9.767522811889648
2017-10-30,TUPRS.IS,9.832978248596191
2017-10-31,TUPRS.IS,9.927526473999023
2017-11-01,TUPRS.IS,9.971163749694824
2017-11-02,TUPRS.IS,10.232988357543945
2017-11-03,TUPRS.IS,10.167531967163086
2017-11-06,TUPRS.IS,10.443903923034668
2017-11-07,TUPRS.IS,10.218442916870117
2017-11-08,TUPRS.IS,10.182077407836914
2017-11-09,TUPRS.IS,9.200234413146973
2017-11-10,TUPRS.IS,9.02568531036377
2017-11-13,TUPRS.IS,9.25114631652832
2017-11-14,TUPRS.IS,9.134778022766113
2017-11-15,TUPRS.IS,8.902046203613281
2017-11-16,TUPRS.IS,8.836589813232422
2017-11-17,TUPRS.IS,9.076595306396484
2017-11-20,TUPRS.IS,8.938408851623535
2017-11-21,TUPRS.IS,9.24387264251709
2017-11-22,TUPRS.IS,9.236599922180176
2017-11-23,TUPRS.IS,9.171142578125
2017-11-24,TUPRS.IS,9.02568531036377
2017-11-27,TUPRS.IS,9.06204891204834
2017-11-28,TUPRS.IS,8.931137084960938
2017-11-29,TUPRS.IS,8.763860702514648
2017-11-30,TUPRS.IS,8.814770698547363
2017-12-01,TUPRS.IS,8.582037925720215
2017-12-04,TUPRS.IS,8.63294792175293
2017-12-05,TUPRS.IS,8.763860702514648
2017-12-06,TUPRS.IS,8.516581535339355
2017-12-07,TUPRS.IS,8.531126976013184
2017-12-08,TUPRS.IS,8.582037925720215
2017-12-11,TUPRS.IS,8.552946090698242
2017-12-12,TUPRS.IS,8.56021785736084
2017-12-13,TUPRS.IS,8.611128807067871
2017-12-14,TUPRS.IS,8.407486915588379
2017-12-15,TUPRS.IS,8.349305152893066
2017-12-18,TUPRS.IS,8.17475414276123
2017-12-19,TUPRS.IS,8.436579704284668
2017-12-20,TUPRS.IS,8.88749885559082
2017-12-21,TUPRS.IS,8.756587982177734
2017-12-22,TUPRS.IS,8.691130638122559
2017-12-25,TUPRS.IS,8.756587982177734
2017-12-26,TUPRS.IS,8.712949752807617
2017-12-27,TUPRS.IS,8.654766082763672
2017-12-28,TUPRS.IS,8.880227088928223
2017-12-29,TUPRS.IS,8.836589813232422
2018-01-01,TUPRS.IS,8.836589813232422
2018-01-02,TUPRS.IS,8.945682525634766
2018-01-03,TUPRS.IS,8.89477252960205
2018-01-04,TUPRS.IS,8.858407974243164
2018-01-05,TUPRS.IS,8.931137084960938
2018-01-08,TUPRS.IS,8.909318923950195
2018-01-09,TUPRS.IS,8.727496147155762
2018-01-10,TUPRS.IS,8.662039756774902
2018-01-11,TUPRS.IS,8.836589813232422
2018-01-12,TUPRS.IS,8.691130638122559
2018-01-15,TUPRS.IS,8.516581535339355
2018-01-16,TUPRS.IS,8.552946090698242
2018-01-17,TUPRS.IS,8.640220642089844
2018-01-18,TUPRS.IS,8.545672416687012
2018-01-19,TUPRS.IS,8.56021785736084
2018-01-22,TUPRS.IS,8.465669631958008
2018-01-23,TUPRS.IS,8.480216979980469
2018-01-24,TUPRS.IS,8.472944259643555
2018-01-25,TUPRS.IS,8.363850593566895
2018-01-26,TUPRS.IS,8.342031478881836
2018-01-29,TUPRS.IS,8.494763374328613
2018-01-30,TUPRS.IS,8.378396034240723
2018-01-31,TUPRS.IS,8.392943382263184
