ds,Hisse_Kodu,y
2016-01-18,AKBNK.IS,4.225577354431152
2016-01-19,AKBNK.IS,4.201117038726807
2016-01-20,AKBNK.IS,4.066583633422852
2016-01-21,AKBNK.IS,4.00543212890625
2016-01-22,AKBNK.IS,4.00543212890625
2016-01-25,AKBNK.IS,4.158310890197754
2016-01-26,AKBNK.IS,4.311190128326416
2016-01-27,AKBNK.IS,4.280614852905273
2016-01-28,AKBNK.IS,4.2683844566345215
2016-01-29,AKBNK.IS,4.396801948547363
2016-02-01,AKBNK.IS,4.396801948547363
2016-02-02,AKBNK.IS,4.298959255218506
2016-02-03,AKBNK.IS,4.427378177642822
2016-02-04,AKBNK.IS,4.555797100067139
2016-02-05,AKBNK.IS,4.488530158996582
2016-02-08,AKBNK.IS,4.353996753692627
2016-02-09,AKBNK.IS,4.40291690826416
2016-02-10,AKBNK.IS,4.378457069396973
2016-02-11,AKBNK.IS,4.360111236572266
2016-02-12,AKBNK.IS,4.378457069396973
2016-02-15,AKBNK.IS,4.353996753692627
2016-02-16,AKBNK.IS,4.305074691772461
2016-02-17,AKBNK.IS,4.41514778137207
2016-02-18,AKBNK.IS,4.427378177642822
2016-02-19,AKBNK.IS,4.3662261962890625
2016-02-22,AKBNK.IS,4.506875038146973
2016-02-23,AKBNK.IS,4.592488765716553
2016-02-24,AKBNK.IS,4.476300239562988
2016-02-25,AKBNK.IS,4.531336307525635
2016-02-26,AKBNK.IS,4.555797100067139
2016-02-29,AKBNK.IS,4.519106388092041
2016-03-01,AKBNK.IS,4.525221347808838
2016-03-02,AKBNK.IS,4.604718208312988
2016-03-03,AKBNK.IS,4.5863728523254395
2016-03-04,AKBNK.IS,4.598602771759033
2016-03-07,AKBNK.IS,4.592488765716553
2016-03-08,AKBNK.IS,4.684215068817139
2016-03-09,AKBNK.IS,4.812633991241455
2016-03-10,AKBNK.IS,4.861555099487305
2016-03-11,AKBNK.IS,4.861555099487305
2016-03-14,AKBNK.IS,4.916592121124268
2016-03-15,AKBNK.IS,4.757596969604492
2016-03-16,AKBNK.IS,4.727022171020508
2016-03-17,AKBNK.IS,4.953281402587891
2016-03-18,AKBNK.IS,5.020549297332764
2016-03-21,AKBNK.IS,4.983859062194824
2016-03-22,AKBNK.IS,4.812633991241455
2016-03-23,AKBNK.IS,4.812633991241455
2016-03-24,AKBNK.IS,4.934937000274658
2016-03-25,AKBNK.IS,4.904361248016357
2016-03-28,AKBNK.IS,4.861555099487305
2016-03-29,AKBNK.IS,4.849324703216553
2016-03-30,AKBNK.IS,4.986452102661133
2016-03-31,AKBNK.IS,4.998918056488037
2016-04-01,AKBNK.IS,4.905422210693359
2016-04-04,AKBNK.IS,5.030083179473877
2016-04-05,AKBNK.IS,4.973986625671387
2016-04-06,AKBNK.IS,4.886723518371582
2016-04-07,AKBNK.IS,4.892956256866455
2016-04-08,AKBNK.IS,4.961520671844482
2016-04-11,AKBNK.IS,5.061248779296875
2016-04-12,AKBNK.IS,5.061248779296875
2016-04-13,AKBNK.IS,5.254473686218262
2016-04-14,AKBNK.IS,5.273172855377197
2016-04-15,AKBNK.IS,5.291872024536133
2016-04-18,AKBNK.IS,5.428999900817871
2016-04-19,AKBNK.IS,5.416533946990967
2016-04-20,AKBNK.IS,5.304339408874512
2016-04-21,AKBNK.IS,5.323037624359131
2016-04-22,AKBNK.IS,5.291872024536133
2016-04-25,AKBNK.IS,5.2046098709106445
2016-04-26,AKBNK.IS,5.341737270355225
2016-04-27,AKBNK.IS,5.335504055023193
2016-04-28,AKBNK.IS,5.372901439666748
2016-04-29,AKBNK.IS,5.360435962677002
2016-05-02,AKBNK.IS,5.235774517059326
2016-05-03,AKBNK.IS,5.023850917816162
2016-05-04,AKBNK.IS,4.849324703216553
2016-05-05,AKBNK.IS,4.76206111907959
2016-05-06,AKBNK.IS,4.755828857421875
2016-05-09,AKBNK.IS,4.830625534057617
2016-05-10,AKBNK.IS,4.7745280265808105
2016-05-11,AKBNK.IS,4.818160057067871
2016-05-12,AKBNK.IS,4.799459934234619
2016-05-13,AKBNK.IS,4.793227672576904
2016-05-16,AKBNK.IS,4.67479944229126
2016-05-17,AKBNK.IS,4.7433624267578125
2016-05-18,AKBNK.IS,4.805694103240967
2016-05-19,AKBNK.IS,4.805694103240967
2016-05-20,AKBNK.IS,4.67479944229126
2016-05-23,AKBNK.IS,4.7745280265808105
2016-05-24,AKBNK.IS,5.017617225646973
2016-05-25,AKBNK.IS,4.942821979522705
2016-05-26,AKBNK.IS,4.917888641357422
2016-05-27,AKBNK.IS,4.955287456512451
2016-05-30,AKBNK.IS,4.986452102661133
2016-05-31,AKBNK.IS,4.967752933502197
2016-06-01,AKBNK.IS,4.924120903015137
2016-06-02,AKBNK.IS,4.855557441711426
2016-06-03,AKBNK.IS,4.986452102661133
2016-06-06,AKBNK.IS,5.030083179473877
2016-06-07,AKBNK.IS,4.917888641357422
2016-06-08,AKBNK.IS,5.017617225646973
2016-06-09,AKBNK.IS,4.936587810516357
2016-06-10,AKBNK.IS,4.892956256866455
2016-06-13,AKBNK.IS,4.880490303039551
2016-06-14,AKBNK.IS,4.855557441711426
2016-06-15,AKBNK.IS,4.892956256866455
2016-06-16,AKBNK.IS,4.793227672576904
2016-06-17,AKBNK.IS,4.942821979522705
2016-06-20,AKBNK.IS,5.111113548278809
2016-06-21,AKBNK.IS,5.129812717437744
2016-06-22,AKBNK.IS,5.098647117614746
2016-06-23,AKBNK.IS,5.22330904006958
2016-06-24,AKBNK.IS,5.092414855957031
2016-06-27,AKBNK.IS,5.055016040802002
2016-06-28,AKBNK.IS,5.117346286773682
2016-06-29,AKBNK.IS,5.0737152099609375
2016-06-30,AKBNK.IS,5.129812717437744
2016-07-01,AKBNK.IS,5.22330904006958
2016-07-04,AKBNK.IS,5.254473686218262
2016-07-05,AKBNK.IS,5.254473686218262
2016-07-06,AKBNK.IS,5.254473686218262
2016-07-07,AKBNK.IS,5.254473686218262
2016-07-08,AKBNK.IS,5.185909271240234
2016-07-11,AKBNK.IS,5.229541778564453
2016-07-12,AKBNK.IS,5.503796100616455
2016-07-13,AKBNK.IS,5.503796100616455
2016-07-14,AKBNK.IS,5.510029315948486
2016-07-15,AKBNK.IS,5.55989408493042
2016-07-18,AKBNK.IS,5.123580455780029
2016-07-19,AKBNK.IS,4.967752933502197
2016-07-20,AKBNK.IS,4.805694103240967
2016-07-21,AKBNK.IS,4.624934196472168
2016-07-22,AKBNK.IS,4.6374006271362305
2016-07-25,AKBNK.IS,4.768294811248779
2016-07-26,AKBNK.IS,4.656100273132324
2016-07-27,AKBNK.IS,4.768294811248779
2016-07-28,AKBNK.IS,4.737130165100098
2016-07-29,AKBNK.IS,4.799459934234619
2016-08-01,AKBNK.IS,4.868023872375488
2016-08-02,AKBNK.IS,4.768294811248779
2016-08-03,AKBNK.IS,4.687264919281006
2016-08-04,AKBNK.IS,4.836858749389648
2016-08-05,AKBNK.IS,4.811926364898682
2016-08-08,AKBNK.IS,4.998918056488037
2016-08-09,AKBNK.IS,5.048782825469971
2016-08-10,AKBNK.IS,5.017617225646973
2016-08-11,AKBNK.IS,5.098647117614746
2016-08-12,AKBNK.IS,5.061248779296875
2016-08-15,AKBNK.IS,5.086181163787842
2016-08-16,AKBNK.IS,4.98021936416626
2016-08-17,AKBNK.IS,5.03631591796875
2016-08-18,AKBNK.IS,5.0674824714660645
2016-08-19,AKBNK.IS,5.111113548278809
2016-08-22,AKBNK.IS,5.0674824714660645
2016-08-23,AKBNK.IS,5.00515079498291
2016-08-24,AKBNK.IS,4.836858749389648
2016-08-25,AKBNK.IS,4.880490303039551
2016-08-26,AKBNK.IS,4.98021936416626
2016-08-29,AKBNK.IS,4.886723518371582
2016-08-30,AKBNK.IS,4.886723518371582
2016-08-31,AKBNK.IS,4.874258041381836
2016-09-01,AKBNK.IS,4.917888641357422
2016-09-02,AKBNK.IS,4.998918056488037
2016-09-05,AKBNK.IS,5.104880332946777
2016-09-06,AKBNK.IS,5.123580455780029
2016-09-07,AKBNK.IS,5.092414855957031
2016-09-08,AKBNK.IS,5.136046409606934
2016-09-09,AKBNK.IS,5.017617225646973
2016-09-12,AKBNK.IS,5.017617225646973
2016-09-13,AKBNK.IS,5.017617225646973
2016-09-14,AKBNK.IS,5.017617225646973
2016-09-15,AKBNK.IS,5.017617225646973
2016-09-16,AKBNK.IS,5.00515079498291
2016-09-19,AKBNK.IS,5.1609787940979
2016-09-20,AKBNK.IS,5.111113548278809
2016-09-21,AKBNK.IS,5.142278671264648
2016-09-22,AKBNK.IS,5.248241424560547
2016-09-23,AKBNK.IS,5.235774517059326
2016-09-26,AKBNK.IS,4.961520671844482
2016-09-27,AKBNK.IS,5.0674824714660645
2016-09-28,AKBNK.IS,5.179677486419678
2016-09-29,AKBNK.IS,5.0674824714660645
2016-09-30,AKBNK.IS,5.011384010314941
2016-10-03,AKBNK.IS,5.098647117614746
2016-10-04,AKBNK.IS,5.042550563812256
2016-10-05,AKBNK.IS,5.0674824714660645
2016-10-06,AKBNK.IS,5.0674824714660645
2016-10-07,AKBNK.IS,5.048782825469971
2016-10-10,AKBNK.IS,5.061248779296875
2016-10-11,AKBNK.IS,5.0674824714660645
2016-10-12,AKBNK.IS,5.055016040802002
2016-10-13,AKBNK.IS,4.949053764343262
2016-10-14,AKBNK.IS,5.017617225646973
