Epoch,Train_Loss,Validation_Loss,Senaryo,Model
2,0.0005391591691607443,0.0011751566780731082,scenario_1_basic,GRU
3,0.00048476264653020607,0.0012541371397674084,scenario_1_basic,GRU
4,0.000467919714278001,0.0013612593756988645,scenario_1_basic,GRU
5,0.0004631888574035007,0.0011230820091441274,scenario_1_basic,GRU
6,0.00045223663437354844,0.0011736319866031408,scenario_1_basic,GRU
7,0.0004490388829643572,0.0011525718728080392,scenario_1_basic,GRU
8,0.00044742709087586263,0.0010596264619380236,scenario_1_basic,GRU
9,0.00044400918639959334,0.001085413619875908,scenario_1_basic,GRU
10,0.00044405469036844025,0.0011582542210817337,scenario_1_basic,GRU
1,0.0005474018377883892,0.0010315473191440105,scenario_1_basic,BiLSTM
2,0.00046133342779545013,0.0010448400862514973,scenario_1_basic,BiLSTM
3,0.0004441332785063423,0.0010781389428302646,scenario_1_basic,BiLSTM
4,0.0004471322689434081,0.0010942203225567937,scenario_1_basic,BiLSTM
5,0.0004432364091501638,0.0010284556774422526,scenario_1_basic,BiLSTM
6,0.0004369223702919304,0.0010665564332157373,scenario_1_basic,BiLSTM
7,0.0004351407946420035,0.0010397529695183039,scenario_1_basic,BiLSTM
8,0.0004348224403137075,0.001162817352451384,scenario_1_basic,BiLSTM
9,0.0004359331820264093,0.0010680118575692177,scenario_1_basic,BiLSTM
10,0.0004320971834853741,0.0010597946820780635,scenario_1_basic,BiLSTM
1,0.0008056426564248145,0.001677484018728137,scenario_1_basic,CNN-LSTM
2,0.00043520295990414785,0.0014191309455782175,scenario_1_basic,CNN-LSTM
3,0.0004328713213388775,0.001135991420596838,scenario_1_basic,CNN-LSTM
4,0.00043482025986512393,0.0012130490504205227,scenario_1_basic,CNN-LSTM
5,0.0004363528334059603,0.001185947097837925,scenario_1_basic,CNN-LSTM
6,0.0004403040472555274,0.001215619035065174,scenario_1_basic,CNN-LSTM
7,0.00043266637086552303,0.0011001444654539227,scenario_1_basic,CNN-LSTM
8,0.0004335060969294448,0.00114245037548244,scenario_1_basic,CNN-LSTM
9,0.0004308884196819106,0.0011182221351191401,scenario_1_basic,CNN-LSTM
10,0.0004335672985169887,0.0011603739112615585,scenario_1_basic,CNN-LSTM
1,0.05402177866199054,0.0015616994351148605,scenario_1_basic,Transformer
2,0.004382845407235436,0.0011440713424235582,scenario_1_basic,Transformer
3,0.0024961341748296817,0.0010938991326838732,scenario_1_basic,Transformer
4,0.0017118537465908698,0.0017597347032278776,scenario_1_basic,Transformer
5,0.0013635050506439126,0.001107239630073309,scenario_1_basic,Transformer
6,0.001112747538822337,0.0010622953996062279,scenario_1_basic,Transformer
7,0.0009400654177755184,0.0010431233095005155,scenario_1_basic,Transformer
8,0.0008407082113990327,0.001100859371945262,scenario_1_basic,Transformer
9,0.0007594174585392466,0.0010380998719483614,scenario_1_basic,Transformer
10,0.0007089329756126972,0.0010760797886177897,scenario_1_basic,Transformer
1,0.0005782705666206311,0.0010401426116004586,scenario_2_derived,MLP
2,0.0004489868269956787,0.0010540422517806292,scenario_2_derived,MLP
3,0.00044012754122897083,0.001049674116075039,scenario_2_derived,MLP
4,0.0004378279179166254,0.0010354719124734402,scenario_2_derived,MLP
5,0.0004386079635878559,0.0010471793357282877,scenario_2_derived,MLP
6,0.0004409328899522994,0.0010615597711876035,scenario_2_derived,MLP
7,0.0004354088463774782,0.001057417830452323,scenario_2_derived,MLP
8,0.0004382364817761949,0.0010431736009195447,scenario_2_derived,MLP
9,0.00043644276476178287,0.0010378933511674404,scenario_2_derived,MLP
10,0.00043185496854545945,0.0010259156115353107,scenario_2_derived,MLP
1,0.001108600784261528,0.002604078035801649,scenario_2_derived,CNN
2,0.00044198761016949514,0.0013949685962870717,scenario_2_derived,CNN
3,0.0004448851979239927,0.0015658694319427013,scenario_2_derived,CNN
4,0.0004428126139828237,0.0014014976331964135,scenario_2_derived,CNN
5,0.00043835686665261164,0.0013636850053444505,scenario_2_derived,CNN
6,0.00043789456503873225,0.0012540885945782065,scenario_2_derived,CNN
7,0.0004454971123258084,0.0012188972905278206,scenario_2_derived,CNN
8,0.00043306990275076326,0.0012480622390285134,scenario_2_derived,CNN
