Tarih,Target_Tarih,Hisse_Kodu,Set,Close,Close_Next,Target_Return,Open,High,Low,Volume,USD_TRY,VIX
2015-04-30,2015-05-01,AKBNK.IS,Train,4.763711929321289,4.763711929321289,0.0,4.898245342847087,4.904360868995677,4.763711929321289,21597184.0,2.656749963760376,14.550000190734863
2015-05-01,2015-05-04,AKBNK.IS,Train,4.763711929321289,4.763711929321289,0.0,4.763711929321289,4.763711929321289,4.763711929321289,0.0,2.673480033874512,12.699999809265137
2015-05-04,2015-05-05,AKBNK.IS,Train,4.763711929321289,4.708675384521484,-0.01155328987486572,4.769827455469879,4.775942301473204,4.733136339014135,11957121.0,2.711280107498169,12.850000381469728
2015-05-05,2015-05-06,AKBNK.IS,Train,4.708675384521484,4.665870189666748,-0.009090708396558192,4.782057959529786,4.794288332019063,4.702560538349489,12605960.0,2.7133500576019287,14.3100004196167
2015-05-06,2015-05-07,AKBNK.IS,Train,4.665870189666748,4.671984672546387,0.0013104699940388587,4.678100564171197,4.720906874936766,4.647524967982774,19072008.0,2.705080032348633,15.149999618530272
2015-05-07,2015-05-08,AKBNK.IS,Train,4.671984672546387,4.824863433837891,0.03272244495788979,4.653639452292888,4.708675793198727,4.653639452292888,11687767.0,2.693589925765991,15.130000114440918
2015-05-08,2015-05-11,AKBNK.IS,Train,4.824863433837891,4.8921308517456055,0.01394182837092399,4.74536636079273,4.824863433837891,4.696444535724573,19495456.0,2.687750101089477,12.859999656677246
2015-05-11,2015-05-12,AKBNK.IS,Train,4.8921308517456055,4.886014938354492,-0.0012501532719491767,4.904361224784778,4.928821970863124,4.861555259220331,13416939.0,2.690999984741211,13.850000381469728
2015-05-12,2015-05-13,AKBNK.IS,Train,4.886014938354492,5.045010089874268,0.03254086480000031,4.837094130215906,4.886014938354492,4.830978604107795,13380209.0,2.692490100860596,13.859999656677246
2015-05-13,2015-05-14,AKBNK.IS,Train,5.045010089874268,5.118391513824463,0.014545347312085184,4.934937067024527,5.045010089874268,4.928822220268178,30113892.0,2.660099983215332,13.760000228881836
2015-05-14,2015-05-15,AKBNK.IS,Train,5.118391513824463,5.136736869812012,0.003584203345523519,5.081700398714132,5.167312320492997,5.07558487278979,24563225.0,2.629689931869507,12.739999771118164
2015-05-15,2015-05-18,AKBNK.IS,Train,5.136736869812012,5.265156269073486,0.025000190299055428,5.16731245982243,5.179542831855648,5.124506497778793,12082844.0,2.5910398960113525,12.380000114440918
2015-05-18,2015-05-19,AKBNK.IS,Train,5.265156269073486,5.265156269073486,0.0,5.210119249698925,5.265156269073486,5.179543316753424,15122727.0,2.576119899749756,12.729999542236328
2015-05-19,2015-05-20,AKBNK.IS,Train,5.265156269073486,5.161197662353516,-0.01974463841284323,5.265156269073486,5.265156269073486,5.265156269073486,0.0,2.582200050354004,12.850000381469728
2015-05-20,2015-05-21,AKBNK.IS,Train,5.161197662353516,5.075585842132568,-0.016587587963431752,5.167312508354928,5.179542880503017,5.124506545909249,20660816.0,2.591020107269287,12.880000114440918
2015-05-21,2015-05-22,AKBNK.IS,Train,5.075585842132568,4.983858585357666,-0.018072250106277787,5.197889922597437,5.210119616491284,5.057240621146425,34037865.0,2.5782198905944824,12.109999656677246
2015-05-22,2015-05-25,AKBNK.IS,Train,4.983858585357666,4.904361724853516,-0.01595086600926204,5.008318650975702,5.045009769620715,4.971628212475995,18415403.0,2.59089994430542,12.130000114440918
2015-05-25,2015-05-26,AKBNK.IS,Train,4.904361724853516,4.861555576324463,-0.00872817930866045,4.947167694782634,4.947167694782634,4.879900976281053,12246569.0,2.599440097808838,13.095000267028809
2015-05-26,2015-05-27,AKBNK.IS,Train,4.861555576324463,4.947167873382568,0.017610062399581145,4.947167513037558,4.977743447629863,4.849325202487541,15202614.0,2.614449977874756,14.0600004196167
2015-05-27,2015-05-28,AKBNK.IS,Train,4.947167873382568,4.92882251739502,-0.003708254188472589,4.873785625015973,4.965513435474217,4.843210028269263,18852951.0,2.637079954147339,13.270000457763672
2015-05-28,2015-05-29,AKBNK.IS,Train,4.92882251739502,4.849324703216553,-0.016129169573037058,4.971628827778697,4.97774367490367,4.92882251739502,13650708.0,2.641079902648926,13.3100004196167
2015-05-29,2015-06-01,AKBNK.IS,Train,4.849324703216553,4.665870189666748,-0.037830940342707814,4.959397716343405,5.020548899086726,4.818748431699604,28032141.0,2.6553099155426025,13.84000015258789
2015-06-01,2015-06-02,AKBNK.IS,Train,4.665870189666748,4.782058238983154,0.02490168920123875,4.806518816322508,4.824864718151878,4.659755342487222,13372775.0,2.6595699787139893,13.970000267028809
2015-06-02,2015-06-03,AKBNK.IS,Train,4.782058238983154,4.886014938354492,0.021738902827215044,4.70867565968653,4.782058238983154,4.702560813157195,15602105.0,2.6808199882507324,14.239999771118164
2015-06-03,2015-06-04,AKBNK.IS,Train,4.886014938354492,4.788172721862793,-0.020024952384744537,4.806517859965872,4.8982453104254535,4.800403014003021,13093380.0,2.6721599102020264,13.65999984741211
2015-06-04,2015-06-05,AKBNK.IS,Train,4.788172721862793,4.745367050170898,-0.00893987626980202,4.745366758972482,4.824863838688176,4.745366758972482,17266808.0,2.684530019760132,14.710000038146973
2015-06-05,2015-06-08,AKBNK.IS,Train,4.745367050170898,4.494644641876221,-0.05283519812985769,4.830978981205078,4.837094507790556,4.714791457679451,21715028.0,2.6688199043273926,14.210000038146973
2015-06-08,2015-06-09,AKBNK.IS,Train,4.494644641876221,4.568027019500732,0.01632662501075488,4.390687161513133,4.512990539685609,4.390687161513133,16043227.0,2.7522900104522705,15.289999961853027
2015-06-09,2015-06-10,AKBNK.IS,Train,4.568027019500732,4.739251613616943,0.03748327087060994,4.55579664728351,4.604717456007131,4.543566275066288,28931453.0,2.7501800060272217,14.470000267028809
2015-06-10,2015-06-11,AKBNK.IS,Train,4.739251613616943,4.843209266662598,0.02193545764630019,4.678100087399696,4.75759751357658,4.647524494327404,18987520.0,2.7506399154663086,13.220000267028809
2015-06-11,2015-06-12,AKBNK.IS,Train,4.843209266662598,4.867670059204102,0.00505053389079749,4.757597337176334,4.849324793137503,4.751481810701428,27764597.0,2.732429981231689,12.850000381469728
2015-06-12,2015-06-15,AKBNK.IS,Train,4.867670059204102,4.690330982208252,-0.03643202493984274,4.843209313359241,4.873784905592664,4.800403348203387,10989847.0,2.7029099464416504,13.779999732971191
